0 	count:463526	 tot:463526	 coverage:7% 	c#
1 	count:408161	 tot:871687	 coverage:14% 	java
2 	count:388468	 tot:1260155	 coverage:20% 	php
3 	count:328484	 tot:1588639	 coverage:26% 	javascript
4 	count:272521	 tot:1861160	 coverage:30% 	android
5 	count:167310	 tot:2028470	 coverage:33% 	jquery
6 	count:190088	 tot:2218558	 coverage:36% 	c++
7 	count:176632	 tot:2395190	 coverage:39% 	python
8 	count:176764	 tot:2571954	 coverage:42% 	iphone
9 	count:98219	 tot:2670173	 coverage:44% 	asp.net
10 	count:96176	 tot:2766349	 coverage:45% 	mysql
11 	count:71100	 tot:2837449	 coverage:47% 	html
12 	count:64423	 tot:2901872	 coverage:48% 	.net
13 	count:80412	 tot:2982284	 coverage:49% 	ios
14 	count:48200	 tot:3030484	 coverage:50% 	objective-c
15 	count:81198	 tot:3111682	 coverage:51% 	sql
16 	count:45423	 tot:3157105	 coverage:52% 	css
17 	count:109803	 tot:3266908	 coverage:54% 	linux
18 	count:104085	 tot:3370993	 coverage:55% 	ruby-on-rails
19 	count:70350	 tot:3441343	 coverage:57% 	windows
20 	count:63870	 tot:3505213	 coverage:58% 	c
21 	count:36716	 tot:3541929	 coverage:58% 	sql-server
22 	count:37296	 tot:3579225	 coverage:59% 	ruby
23 	count:34543	 tot:3613768	 coverage:59% 	wpf
24 	count:21701	 tot:3635469	 coverage:60% 	xml
25 	count:10154	 tot:3645623	 coverage:60% 	ajax
26 	count:18579	 tot:3664202	 coverage:60% 	database
27 	count:17758	 tot:3681960	 coverage:61% 	regex
28 	count:46882	 tot:3728842	 coverage:61% 	windows-7
29 	count:29488	 tot:3758330	 coverage:62% 	asp.net-mvc
30 	count:11666	 tot:3769996	 coverage:62% 	xcode
31 	count:27178	 tot:3797174	 coverage:62% 	django
32 	count:32116	 tot:3829290	 coverage:63% 	osx
33 	count:6731	 tot:3836021	 coverage:63% 	arrays
34 	count:22199	 tot:3858220	 coverage:63% 	vb.net
35 	count:17194	 tot:3875414	 coverage:64% 	eclipse
36 	count:7014	 tot:3882428	 coverage:64% 	json
37 	count:22528	 tot:3904956	 coverage:64% 	facebook
38 	count:12990	 tot:3917946	 coverage:64% 	ruby-on-rails-3
39 	count:24543	 tot:3942489	 coverage:65% 	ubuntu
40 	count:12286	 tot:3954775	 coverage:65% 	performance
41 	count:20668	 tot:3975443	 coverage:65% 	networking
42 	count:4649	 tot:3980092	 coverage:65% 	string
43 	count:4992	 tot:3985084	 coverage:66% 	multithreading
44 	count:3915	 tot:3988999	 coverage:66% 	winforms
45 	count:14982	 tot:4003981	 coverage:66% 	security
46 	count:14462	 tot:4018443	 coverage:66% 	visual-studio-2010
47 	count:13319	 tot:4031762	 coverage:66% 	asp.net-mvc-3
48 	count:19588	 tot:4051350	 coverage:67% 	bash
49 	count:23511	 tot:4074861	 coverage:67% 	homework
50 	count:7030	 tot:4081891	 coverage:67% 	image
51 	count:13532	 tot:4095423	 coverage:67% 	wcf
52 	count:8716	 tot:4104139	 coverage:68% 	html5
53 	count:14016	 tot:4118155	 coverage:68% 	wordpress
54 	count:10811	 tot:4128966	 coverage:68% 	visual-studio
55 	count:7617	 tot:4136583	 coverage:68% 	web-services
56 	count:5170	 tot:4141753	 coverage:68% 	forms
57 	count:15137	 tot:4156890	 coverage:68% 	algorithm
58 	count:8824	 tot:4165714	 coverage:69% 	sql-server-2008
59 	count:5908	 tot:4171622	 coverage:69% 	linq
60 	count:11003	 tot:4182625	 coverage:69% 	oracle
61 	count:23816	 tot:4206441	 coverage:69% 	git
62 	count:4095	 tot:4210536	 coverage:69% 	query
63 	count:18253	 tot:4228789	 coverage:70% 	perl
